Ano;VolExpAcucar_ton;VolExpAcucar_Dolar;AreaColhidaCana;ProdCana_ton;TaxaSELIC;PrecoAcucar
1974;2356737;1321932;2056691;95623685;17,27022801;560,9162159
1975;1730774;1099773;1969227;91524559;21,85909256;635,4226491
1976;1167335;306537;2093483;103173449;41,1453168;262,5955703
1977;2454585;462704;2270036;120081700;41,93674412;188,506
1978;7961516;350064;2391455;129144950;46,40186492;43,96951535
1979;1829228;363809;2536976;138898882;42,56706561;198,8866341
1980;2572336;1288253;2607628;148650563;46,35056769;500,8105473
1981;2700862;1061732;2825879;155924109;89,27321438;393,1085705
1982;2709684;580007;3084297;186646607;119,3505856;214,0496825
1983;2503475;526803;3478785;216036958;199,7333375;210,4287041
1984;3059259;586293;3655810;222317847;255,5065344;191,6454279
1985;2548028;367954;3912042;247199474;276,5319879;144,4073613
1986;2430332;381406;3951842;239178319;66,51903359;156,9357602
1987;2195402;324616;4314146;268741069;352,9472284;147,8617583
1988;1765253;345119;4117375;258412865;1057,735218;195,5068197
1989;1053300;306198;4075839;252642623;2406,859781;290,7035033
1990;1540937;525860;4272602;262674150;1153,243767;341,2598958
1991;1483747;398087;4210954;260887893;536,8752936;268,2984363
1992;2413437;599421;4202604;271474875;1549,146284;248,3681985
1993;3057969;786675;3863702;244530708;3059,797902;257,2540794
1994;3432925;992205;4345260;292101835;1153,628383;289,026122
1995;6239171;1919460;4559062;303699497;53,08719654;307,6466409
1996;5378893;1611494;4750296;317105981;27,41189603;299,5958462
1997;6380609;1773984;4814084;331612687;24,78783297;278,0273795
1998;8371311,87;1943433,65;4985819;345254972;28,78816193;232,1540136
1999;12100110,73;1910692,617;4898844;333847720;25,58785312;157,9070357
2000;6502373,093;1199110,875;4804511;326121011;17,43254215;184,4112692
2001;11173215,3;2279059,664;4957897;344292922;17,31738985;203,975275
2002;13354331,48;2093643,745;5100405;364389416;19,17305735;156,7763799
2003;12914409,84;2140022,403;5371020;396012158;23,34544919;165,7081067
2004;15763929,28;2640229,042;5631741;415205835;16,24629162;167,485466
2005;18147062,37;3918849,77;5805518;422956646;19,04981026;215,9495399
2006;18870166,76;6167015,107;6355498;477410655;15,07679862;326,8129627
2007;19359021,21;5100530,281;7080920;549707314;11,87588388;263,470463
2008;19472520,44;5483037,064;8140089;645300182;12,48135269;281,5781902
2009;24294097,75;8377828,131;8617555;691606147;9,932407486;344,8503508
2010;27999859,45;12761731,5;9076706;717463793;9,757809314;455,7784127
